Invoice Number,Type,Product Code,Product Name,Description,Quantity,Unit Price,Subtotal,Total,Taxes
INV/2026/00090,product,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,41.69,41.69,50.44,21% S
INV/2026/00091,product,,,"Publicació i proves nou tipus exportació fulletó ""Minerva""",1.00,43.00,43.00,52.03,21% S
INV/2026/00091,product,,,"Canvis nou tipus exportació fulletó ""Minerva"" després de presentar-lo",1.50,43.00,64.50,78.05,21% S
INV/2026/00091,product,,,Solucionar problema en la importació de preus al fulletó via Excel ,1.00,43.00,43.00,52.03,21% S
INV/2026/00091,product,,,Solucionar problema en la importació d'articles al fulletó via Excel ,1.00,43.00,43.00,52.03,21% S
INV/2026/00091,product,,,"Publicació i proves nou tipus exportació fulletó ""Minerva""",1.00,43.00,43.00,52.03,21% S
INV/2026/00091,product,,,"Noves modificacions exportació fulletó ""Minerva""",2.50,43.00,107.50,130.08,21% S
INV/2026/00091,product,,,"Publicació i proves nou tipus exportació fulletó ""Minerva""",1.00,43.00,43.00,52.03,21% S
INV/2026/00091,product,,,"Canvis nou tipus exportació fulletó ""Minerva"". Afegir codi de Euroventa al Excel.",1.00,43.00,43.00,52.03,21% S
INV/2026/00091,product,,,"Publicació i proves nou tipus exportació fulletó ""Minerva""",1.00,43.00,43.00,52.03,21% S
INV/2026/00091,product,,,"En el mòdul de fulletó, filtrar llista de fuletons perque mostri sols les de 6 mesos anteriors (petició Eva 18/12/2025)",1.50,43.00,64.50,78.05,21% S
INV/2026/00091,product,,,Publicació i proves,1.00,43.00,43.00,52.03,21% S
INV/2026/00091,product,,,"29/12/2025 - Reunió anàlisi nous Excels ""unificat"" i ""A5"" dins de Fulletó. Assistens: Andreu, Mati, Yolanda.",1.50,43.00,64.50,78.05,21% S
INV/2026/00092,product,,,Tareas relacionadas con la entrada de la denuncia nº 100557 a través del Sistema de Información Interno de la compañía:,12.00,74.95,899.40,1088.27,21% S
INV/2026/00093,product,,,40% inicio proyecto relacionado con el presupuesto para la realización de un Análisis básico de la Seguridad Informática basado en la ISO 27001,1.00,419.72,419.72,507.86,21% S
INV/2026/00094,product,,,"Factura correspondiente al curso bonificado:
Curso sobre la prevención y el tratamiento del Acoso laboral, sexual y por razón de sexo en el Trabajo",2.00,105.00,210.00,254.10,21% S
INV/2026/00095,product,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,38.00,38.00,45.98,21% S
INV/2026/00096,product,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD",1.00,16.35,16.35,19.78,21% S
INV/2026/00097,product,,,"Cuota mensual de mantenimiento integral sobre el
Reglamento General de Protección de Datos",1.00,32.84,32.84,39.74,21% S
INV/2026/00098,product,,,"Cuota mensual relativos a los servicios del Canal de Denuncias:
Mantenimiento de la plataforma web para la recepción, almacenamiento
y gestión de denuncias.
Servicio externalizado de gestión, asesoramiento y
soporte de denuncias.",1.00,94.87,94.87,114.79,21% S
INV/2026/00099,product,,,"Cuota mensual relativos a los servicios de Delegado de Protección de Datos:
Representación como Delegado de Protección de Datos (DPD) externo
frente a la Agencia Española de Protección de Datos (AGPD).
Atender las peticiones de la Agencia Española de Protección de Datos.
Consultas ilimitadas en lo referente a las funciones y obligaciones del DPD.",1.00,42.14,42.14,50.99,21% S
INV/2026/00100,product,,,"Cuota mensual relativos a los servicios de:
* Adecuación al RGPD y a la LOPDGDD
* Mantenimiento experto en el RGPD y en&nbsp;la LOPDGDD",1.00,100.68,100.68,121.82,21% S
INV/2026/00101,product,,,"Cuota mensual relativos a los servicios de:
* Adecuación a la LSSI-CE
* Mantenimiento experto en la LSSI-CE",1.00,15.76,15.76,19.07,21% S
